Order ID,Product ID,Sales,Quantity,Discount,Profit,Shipping Cost,profit_margin
CA-2012-124891,TEC-AC-10003033,2309.65,7,0.0,762.1845,933.57,32.99999999999999
IN-2013-77878,FUR-CH-10003950,3709.395,9,0.1,-288.765,923.63,-7.784692652036249
IN-2013-71249,TEC-PH-10004664,5175.171,9,0.1,919.971,915.49,17.776629989617735
ES-2013-1579342,TEC-PH-10004583,2892.51,5,0.1,-96.54,910.16,-3.3375856954686416
SG-2013-4320,TEC-SHA-10000501,2832.96,8,0.0,311.52,903.04,10.996272450016944
IN-2013-42360,TEC-PH-10000030,2862.675,5,0.1,763.275,897.35,26.66299876863423
IN-2011-81826,FUR-CH-10004050,1822.08,4,0.0,564.84,894.77,30.99973656480506
IN-2012-86369,FUR-TA-10002958,5244.84,6,0.0,996.48,878.38,18.99924497220125
CA-2014-135909,OFF-BI-10003527,5083.96,5,0.2,1906.485,867.69,37.5
CA-2012-116638,FUR-TA-10000198,4297.644,13,0.4,-1862.3124,865.74,-43.33333333333333
CA-2011-102988,OFF-SU-10002881,4164.05,5,0.0,83.281,846.54,2.0
ID-2012-28402,FUR-TA-10001889,4626.15,5,0.0,647.55,835.57,13.997600596608411
SA-2011-1830,TEC-CIS-10001717,2616.96,4,0.0,1151.4,832.41,43.997615553925165
MX-2012-130015,FUR-CH-10002033,2221.8,7,0.0,622.02,810.25,27.996219281663514
IN-2013-73951,OFF-AP-10003500,3701.52,12,0.0,1036.08,804.54,27.990663295078775
ES-2014-5099955,OFF-AP-10000423,1869.588,4,0.1,186.948,801.66,9.999422332620878
CA-2014-143567,TEC-AC-10004145,2249.91,9,0.0,517.4793,780.7,23.0
ES-2014-1651774,OFF-AP-10004512,7958.58,14,0.0,3979.08,778.32,49.9973613383292
IN-2014-11763,TEC-CO-10000865,2565.594,9,0.1,28.404,766.93,1.107112037212435
TZ-2014-8190,OFF-KIT-10004058,3409.74,6,0.0,818.28,763.38,23.998310721638603
PL-2012-7820,FUR-HON-10000224,1977.72,4,0.0,276.84,759.47,13.997937018384803
CA-2011-154627,TEC-PH-10001363,2735.952,6,0.2,341.994,752.51,12.5
IN-2011-44803,FUR-CH-10000027,2754.0,6,0.0,358.02,752.47,13.0
ES-2013-2860574,OFF-AP-10003590,5273.7,10,0.0,1898.4,730.91,35.997497013482
US-2014-133193,TEC-PH-10004182,1713.84,4,0.0,445.52,728.97,25.995425477290762
MX-2014-165309,FUR-TA-10002827,2106.496,8,0.2,526.496,728.39,24.99392355836422
IN-2011-10286,FUR-TA-10004744,1715.16,2,0.0,720.36,725.57,41.99958021409081
ES-2011-4699764,OFF-AP-10004512,3069.738,6,0.1,1364.238,725.34,44.441512598143554
CA-2013-159016,TEC-PH-10002885,4158.912,8,0.2,363.9048,714.66,8.75
IN-2012-44810,FUR-CH-10001415,1878.72,4,0.0,582.36,704.08,30.997700562084823
US-2011-128776,TEC-PH-10002815,1696.64,5,0.2,-148.46,704.06,-8.750235760090531
ES-2012-5870268,TEC-MA-10000161,2402.865,9,0.15,763.155,699.55,31.760211247822912
CA-2012-139731,FUR-CH-10002024,2453.43,5,0.3,-350.49,690.42,-14.285714285714288
IN-2011-28087,OFF-AP-10004246,2526.93,5,0.1,561.48,689.8,22.219847799503746
CA-2011-168494,FUR-TA-10003473,3610.848,12,0.2,135.4068,683.12,3.75
